10-10 10-5 First Click,10-10 10-5 Last Click,10-10 10-5 Page Submit,10-10 10-5 Click Count,10-5 10-10 First Click,10-5 10-10 Last Click,10-5 10-10 Page Submit,10-5 10-10 Click Count,10-10 10-15 First Click,10-10 10-15 Last Click,10-10 10-15 Page Submit,10-10 10-15 Click Count,10-15 10-10 First Click,10-15 10-10 Last Click,10-15 10-10 Page Submit,10-15 10-10 Click Count,10-10 15-5 First Click,10-10 15-5 Last Click,10-10 15-5 Page Submit,10-10 15-5 Click Count,15-5 10-10 First Click,15-5 10-10 Last Click,15-5 10-10 Page Submit,15-5 10-10 Click Count,10-10 15-20 First Click,10-10 15-20 Last Click,10-10 15-20 Page Submit,10-10 15-20 Click Count,15-20 10-10 First Click,15-20 10-10 Last Click,15-20 10-10 Page Submit,15-20 10-10 Click Count,ResponseID
nan,nan,nan,nan,1.878,3.49,4.127,3.0,nan,nan,nan,nan,1.873,3.671,4.544,2.0,2.524,5.737,6.476,2.0,nan,nan,nan,nan,2.083,3.745,4.4,3.0,nan,nan,nan,nan,R_1FmOvJkvWL9cMbm
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_1xeM78YsEo9QNIB
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2xRUNheMAwVXBQl
nan,nan,nan,nan,1.562,3.183,3.652,3.0,nan,nan,nan,nan,1.385,3.488,4.202,3.0,0.836,2.256,2.649,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.412,16.459,16.849,4.0,R_2Ecj2YhVmRXHv4V
nan,nan,nan,nan,6.471,8.135,8.776,3.0,nan,nan,nan,nan,15.783,16.597,17.301,2.0,7.898,9.563,10.035,3.0,nan,nan,nan,nan,6.144,6.954,8.139,2.0,nan,nan,nan,nan,R_5tgsMRRggL9fXRF
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_1oH476wCtl2NKZa
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_22PToOw5dygCMzc
0.815,4.665,5.391,7.0,nan,nan,nan,nan,0.539,4.674,5.558,7.0,nan,nan,nan,nan,nan,nan,nan,nan,0.271,3.924,4.771,7.0,0.579,3.719,4.67,6.0,nan,nan,nan,nan,R_21mj6odk2DwFXwm
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2JsmasgduGZH17b
26.41,33.455,39.663,4.0,nan,nan,nan,nan,2.772,78.694,82.282,18.0,nan,nan,nan,nan,nan,nan,nan,nan,7.572,54.413,56.701,4.0,5.545,45.986,54.163,10.0,nan,nan,nan,nan,R_2e20iK9yZqdftfM
